,country,time,lex
232,afg,2032,66.78
233,afg,2033,66.99
234,afg,2034,67.2
235,afg,2035,67.4
236,afg,2036,67.6
237,afg,2037,67.79
238,afg,2038,67.98
239,afg,2039,68.16
240,afg,2040,68.34
241,afg,2041,68.52
242,afg,2042,68.7
243,afg,2043,68.86
244,afg,2044,69.03
245,afg,2045,69.2
246,afg,2046,69.37
247,afg,2047,69.53
248,afg,2048,69.69
249,afg,2049,69.84
250,afg,2050,70.0
251,afg,2051,70.15
252,afg,2052,70.29
253,afg,2053,70.45
254,afg,2054,70.6
255,afg,2055,70.75
256,afg,2056,70.9
257,afg,2057,71.06
258,afg,2058,71.19
259,afg,2059,71.34
260,afg,2060,71.48
261,afg,2061,71.63
262,afg,2062,71.76
263,afg,2063,71.91
264,afg,2064,72.06
265,afg,2065,72.2
266,afg,2066,72.35
267,afg,2067,72.48
268,afg,2068,72.62
269,afg,2069,72.78
270,afg,2070,72.92
271,afg,2071,73.05
272,afg,2072,73.2
273,afg,2073,73.35
274,afg,2074,73.49
275,afg,2075,73.63
276,afg,2076,73.77
277,afg,2077,73.91
278,afg,2078,74.06
279,afg,2079,74.19
280,afg,2080,74.34
281,afg,2081,74.49
282,afg,2082,74.63
283,afg,2083,74.78
284,afg,2084,74.91
285,afg,2085,75.06
286,afg,2086,75.2
287,afg,2087,75.36
288,afg,2088,75.49
289,afg,2089,75.63
290,afg,2090,75.78
291,afg,2091,75.92
292,afg,2092,76.07
293,afg,2093,76.21
294,afg,2094,76.36
295,afg,2095,76.5
296,afg,2096,76.65
297,afg,2097,76.8
298,afg,2098,76.95
299,afg,2099,77.1
300,afg,2100,77.25
301,ago,1800,26.98
302,ago,1801,26.98
303,ago,1802,26.98
304,ago,1803,26.98
305,ago,1804,26.98
306,ago,1805,26.98
307,ago,1806,26.98
308,ago,1807,26.98
309,ago,1808,26.98
310,ago,1809,26.98
311,ago,1810,26.98
312,ago,1811,26.98
313,ago,1812,26.98
314,ago,1813,26.98
315,ago,1814,26.98
316,ago,1815,26.98
317,ago,1816,26.98
318,ago,1817,26.98
319,ago,1818,26.98
320,ago,1819,26.98
321,ago,1820,26.98
322,ago,1821,26.98
323,ago,1822,26.98
324,ago,1823,26.98
325,ago,1824,26.98
326,ago,1825,26.98
327,ago,1826,26.98
328,ago,1827,26.98
329,ago,1828,26.98
330,ago,1829,26.98
331,ago,1830,26.98
332,ago,1831,26.98
333,ago,1832,26.98
334,ago,1833,26.98
335,ago,1834,26.98
336,ago,1835,26.98
337,ago,1836,26.98
338,ago,1837,26.98
339,ago,1838,26.98
340,ago,1839,26.98
341,ago,1840,26.98
342,ago,1841,26.98
343,ago,1842,26.98
344,ago,1843,26.98
345,ago,1844,26.98
346,ago,1845,26.98
347,ago,1846,26.98
348,ago,1847,26.98
349,ago,1848,26.98
350,ago,1849,26.98
351,ago,1850,26.98
352,ago,1851,27.11
353,ago,1852,27.24
354,ago,1853,27.37
355,ago,1854,27.5
356,ago,1855,27.63
